Número de operación,Tipo,Fecha y hora,Señal,Precio USD,Tamaño (cant.),Tamaño de la posición (valor),PyG netas USD,Rentabilidad %,Comisión USD,Desviación favorable USD,Desviación favorable %,Desviación adversa USD,Desviación adversa %,PyG acumuladas USD,PyG acumuladas %,Duración (barras)
1,Salida en largo,2016-02-08 15:30,Cierre EOD,99.73,24,2430.96,-39.44,-1.62,2,32.36,1.33,-92.68,-3.81,-39.44,-0.39,12
1,Entrada en largo,2016-02-08 09:30,Long Fade,101.29,24,2430.96,-39.44,-1.62,2,32.36,1.33,-92.68,-3.81,-39.44,-0.39,12
2,Salida en largo,2016-02-09 15:30,Cierre EOD,99.47,24,2424.48,-39.2,-1.62,2,32.12,1.32,-88.12,-3.63,-78.64,-0.79,12
2,Entrada en largo,2016-02-09 09:30,Long Fade,101.02,24,2424.48,-39.2,-1.62,2,32.12,1.32,-88.12,-3.63,-78.64,-0.79,12
3,Salida en largo,2016-04-04 15:30,Cierre EOD,112.5,21,2376.99,-16.49,-0.69,2,8.66,0.36,-33.97,-1.43,-95.13,-0.95,12
3,Entrada en largo,2016-04-04 09:30,Long Fade,113.19,21,2376.99,-16.49,-0.69,2,8.66,0.36,-33.97,-1.43,-95.13,-0.95,12
4,Salida en largo,2016-04-22 15:30,Cierre EOD,110.51,22,2446.62,-17.4,-0.71,2,2.08,0.08,-49.4,-2.02,-112.53,-1.13,12
4,Entrada en largo,2016-04-22 09:30,Long Fade,111.21,22,2446.62,-17.4,-0.71,2,2.08,0.08,-49.4,-2.02,-112.53,-1.13,12
5,Salida en largo,2016-06-10 15:30,Cierre EOD,116.6,21,2470.86,-24.26,-0.98,2,7.82,0.32,-30.4,-1.23,-136.79,-1.37,12
5,Entrada en largo,2016-06-10 09:30,Long Fade,117.66,21,2470.86,-24.26,-0.98,2,7.82,0.32,-30.4,-1.23,-136.79,-1.37,12
6,Salida en largo,2016-06-13 15:30,Cierre EOD,113.96,21,2415.21,-24.05,-1.00,2,3.62,0.15,-36.7,-1.52,-160.84,-1.61,12
6,Entrada en largo,2016-06-13 09:30,Long Fade,115.01,21,2415.21,-24.05,-1.00,2,3.62,0.15,-36.7,-1.52,-160.84,-1.61,12
7,Salida en largo,2016-06-24 15:30,Cierre EOD,112,21,2378.25,-28.25,-1.19,2,8.03,0.34,-30.19,-1.27,-189.09,-1.89,12
7,Entrada en largo,2016-06-24 09:30,Long Fade,113.25,21,2378.25,-28.25,-1.19,2,8.03,0.34,-30.19,-1.27,-189.09,-1.89,12
8,Salida en largo,2016-09-12 15:30,Cierre EOD,128.69,19,2408.44,34.67,1.44,2,37,1.54,-1.38,-0.06,-154.42,-1.54,12
8,Entrada en largo,2016-09-12 09:30,Long Fade,126.76,19,2408.44,34.67,1.44,2,37,1.54,-1.38,-0.06,-154.42,-1.54,12
9,Salida en largo,2016-09-23 15:30,Cierre EOD,127.93,19,2430.67,-2,-0.08,2,11.73,0.48,-12.78,-0.53,-156.42,-1.56,12
9,Entrada en largo,2016-09-23 09:30,Long Fade,127.93,19,2430.67,-2,-0.08,2,11.73,0.48,-12.78,-0.53,-156.42,-1.56,12
10,Salida en largo,2016-10-13 15:30,Cierre EOD,127.8,19,2416.8,9.4,0.39,2,15.72,0.65,-9.36,-0.39,-147.02,-1.47,12
10,Entrada en largo,2016-10-13 09:30,Long Fade,127.2,19,2416.8,9.4,0.39,2,15.72,0.65,-9.36,-0.39,-147.02,-1.47,12
11,Salida en largo,2016-11-03 15:30,Cierre EOD,119.82,20,2406.4,-12,-0.50,2,30,1.25,-17.4,-0.72,-159.02,-1.59,12
11,Entrada en largo,2016-11-03 09:30,Long Fade,120.32,20,2406.4,-12,-0.50,2,30,1.25,-17.4,-0.72,-159.02,-1.59,12
12,Salida en largo,2016-11-09 15:30,Cierre EOD,123.13,19,2346.88,-9.41,-0.40,2,4.51,0.19,-45.46,-1.94,-168.43,-1.68,12
12,Entrada en largo,2016-11-09 09:30,Long Fade,123.52,19,2346.88,-9.41,-0.40,2,4.51,0.19,-45.46,-1.94,-168.43,-1.68,12
13,Salida en largo,2016-11-16 15:30,Cierre EOD,116.33,21,2424.45,16.48,0.68,2,50.03,2.06,-5.62,-0.23,-151.95,-1.52,12
